S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
-9887.38,2432.13,16.95,22.5,340.39,0.034426714,2906.23,6981.15,0.706066723,2543.34,0.257230935,7454.668216,7231.280378
-9884.89,1807.9,17.31,22.28,328.65,0.033247714,2904.06,6980.83,0.706212209,2553.13,0.258286132,7467.30435,7242.360976
-9884.89,1807.9,17.31,22.28,328.65,0.033247714,2904.06,6980.83,0.706212209,2553.13,0.258286132,7466.320486,7248.770839
-9880.43,1745.68,19.54,22.8,314.81,0.031861974,2901.12,6979.31,0.706377152,2563.51,0.259453283,7478.042137,7271.004342
-9880.43,1745.68,19.54,22.8,314.81,0.031861974,2901.12,6979.31,0.706377152,2563.51,0.259453283,7487.910589,7230.644835
-9878.51,1457.06,16.99,22.17,304.14,0.030788044,2897.26,6981.25,0.70671083,2570.95,0.260256861,7500.68791,7252.129102
-9878.51,1457.06,16.99,22.17,304.14,0.030788044,2897.26,6981.25,0.70671083,2570.95,0.260256861,7497.175392,7263.496022
-9874.7,1493.82,18.44,22.41,294.34,0.029807488,2895.21,6979.49,0.70680527,2578.46,0.261117806,7507.806611,7288.841812
-9874.7,1493.82,18.44,22.41,294.34,0.029807488,2895.21,6979.49,0.70680527,2578.46,0.261117806,7509.940906,7282.365693
-9870.38,1178.51,18.03,22.04,285.15,0.028889465,2891.47,6978.91,0.707055858,2584.28,0.261821733,7534.175995,7267.690517
-9870.38,1178.51,18.03,22.04,285.15,0.028889465,2891.47,6978.91,0.707055858,2584.28,0.261821733,7531.355436,7275.015976
-9870.15,873.96,15.82,23.33,279.67,0.028334929,2888.26,6981.89,0.707374255,2585.26,0.261927124,7546.798741,7283.176148
-9870.15,873.96,15.82,23.33,279.67,0.028334929,2888.26,6981.89,0.707374255,2585.26,0.261927124,7542.283104,7294.529761
-9872.99,1211.8,17.56,26.5,277.71,0.028128257,2888.97,6984.02,0.707386516,2584.76,0.261801136,7542.002415,7338.552275
-9872.99,1211.8,17.56,26.5,277.71,0.028128257,2888.97,6984.02,0.707386516,2584.76,0.261801136,7543.332763,7335.313131
-9876.17,1192.58,20.58,25.24,277.84,0.028132363,2891.87,6984.3,0.707187098,2588.79,0.262124893,7564.223223,7326.595403
-9876.17,1192.58,20.58,25.24,277.84,0.028132363,2891.87,6984.3,0.707187098,2588.79,0.262124893,7560.9028,7334.08499
-9879.06,1051.63,19.73,23.44,278.55,0.028196002,2894.98,6984.08,0.706957949,2592.99,0.262473353,7563.037042,7365.937191
-9879.06,1051.63,19.73,23.44,278.55,0.028196002,2894.98,6984.08,0.706957949,2592.99,0.262473353,7556.02695,7382.131059
-9880.97,1350.53,22.09,20.3,277.17,0.02805089,2898.07,6982.9,0.706701872,2600.6,0.263192784,7559.670726,7410.872926
-9880.97,1350.53,22.09,20.3,277.17,0.02805089,2898.07,6982.9,0.706701872,2600.6,0.263192784,7569.086716,7388.643669
-9881.43,1806.13,20.94,21.95,271.56,0.027481852,2899.6,6981.83,0.70656069,2606.09,0.263736119,7573.328712,7411.040099
-9881.43,1806.13,20.94,21.95,271.56,0.027481852,2899.6,6981.83,0.70656069,2606.09,0.263736119,7558.080528,7447.743613
-9877.58,1876.91,19.83,22.04,263.26,0.026652277,2899.22,6978.36,0.706484787,2613.92,0.26463162,7559.043529,7478.072183
-9877.58,1876.91,19.83,22.04,263.26,0.026652277,2899.22,6978.36,0.706484787,2613.92,0.26463162,7576.954778,7434.470863
-9871.91,1188.88,21.64,20.69,253.57,0.025686012,2894.97,6976.94,0.706746719,2620.71,0.265471423,7579.035501,7457.316287
-9871.91,1188.88,21.64,20.69,253.57,0.025686012,2894.97,6976.94,0.706746719,2620.71,0.265471423,7581.702076,7451.033351
-9869.19,632.94,23.27,19.22,246.56,0.0249828,2890.47,6978.72,0.707121861,2624.69,0.265947864,7586.685122,7467.112073
-9869.19,632.94,23.27,19.22,246.56,0.0249828,2890.47,6978.72,0.707121861,2624.69,0.265947864,7592.406221,7453.902147
-9866.2,714.38,23.37,19.44,239.94,0.024319393,2887.86,6978.34,0.707297642,2628.48,0.266412601,7579.572369,7506.19794
-9866.2,714.38,23.37,19.44,239.94,0.024319393,2887.86,6978.34,0.707297642,2628.48,0.266412601,7594.738033,7470.709118
-9863.66,609.77,15.64,21.25,234.03,0.023726487,2885.38,6978.28,0.707473696,2630.1,0.266645444,7613.899009,7448.551287
-9863.66,609.77,15.64,21.25,234.03,0.023726487,2885.38,6978.28,0.707473696,2630.1,0.266645444,7622.31204,7429.783373
-9865.29,586.49,15.75,27.12,233.23,0.023641474,2886.02,6979.27,0.707457155,2625.67,0.266152338,7691.41088,7299.414003
-9863.7,595.02,18.74,21.77,232.63,0.023584456,2883.53,6980.17,0.707662439,2629.13,0.266546022,7622.062178,7447.408333
-9861.65,586.97,19.07,29.96,232.26,0.02355184,2884.12,6977.53,0.707541841,2621.9,0.265868288,7655.340853,7390.135948
-9860.1,1187.43,23.13,23.33,232.5,0.023579883,2882.8,6977.3,0.70762974,2626.97,0.266424276,7676.712071,7343.634818
-9856.76,590.19,22.48,28.09,233.55,0.023694399,2880.23,6976.53,0.707791404,2618.59,0.265664377,7649.117325,7414.799299
-9855.3,1115.68,22.69,24.63,233.18,0.023660365,2878.99,6976.31,0.707873936,2621.18,0.265966536,7673.803183,7359.34878
-9851.67,599.43,24.21,27.92,232.9,0.023640662,2875.49,6976.18,0.708121567,2614.67,0.265403734,7679.793928,7354.870321
-9850.54,1012.02,24.36,24.03,232.91,0.023644389,2874.36,6976.18,0.708202799,2617.42,0.265713352,7689.185297,7333.661683
-9846.64,452.07,21.43,30.8,238.26,0.024197087,2870.52,6976.12,0.708477206,2601.46,0.264197736,7659.506661,7408.32751
-9846.51,1082.47,23.01,25.04,237.18,0.024087722,2870,6976.51,0.708526168,2607.78,0.264843076,7669.49936,7384.452457
-9841.46,267.3,23.13,30.01,241.19,0.024507543,2865.7,6975.76,0.70881353,2594.5,0.263629583,7673.652467,7380.448626
-9841.4,187.04,21.96,24.76,241.83,0.024572723,2865.87,6975.53,0.70879448,2599.28,0.264116894,7667.543797,7395.309049
-9836.22,23.59,22.73,29.37,243.43,0.024748328,2860.58,6975.64,0.709178933,2587.78,0.263086836,7755.199903,7169.681236
-9836.31,614.58,21.87,24.84,246.3,0.025039878,2860.9,6975.41,0.709149061,2589.76,0.263285724,7760.912396,7152.134961
-9830.9,439,22.82,27.52,247.7,0.025196065,2855.38,6975.52,0.709550499,2580.16,0.262454099,7751.982449,7172.650284
-9831.09,467.93,19.25,22.39,252.09,0.025642121,2855.78,6975.31,0.709515425,2581.3,0.262564985,7756.948384,7156.820308
-9825.61,645.8,24.55,28.14,255.38,0.025991262,2850.23,6975.38,0.709918265,2566.71,0.261226529,7732.669095,7222.451833
-9825.17,642.14,21.76,26.15,255.3,0.025984283,2850.44,6974.73,0.7098839,2568.99,0.261470285,7743.706458,7188.22951
-9817.45,208.23,18.09,29.27,251.93,0.02566145,2844.42,6973.03,0.71026896,2563.22,0.261088164,7732.210619,7216.724291
-9819.05,470.34,18.17,28.77,258.37,0.026313136,2844.46,6974.59,0.710312097,2557.32,0.260444748,7730.436648,7222.23314
-9809.52,573.02,20.84,27.46,251.46,0.025634282,2836.53,6972.99,0.710839062,2557.61,0.260727334,7730.759956,7208.587531
-9810.68,574.62,16.27,28.18,260.67,0.026570024,2838.37,6972.31,0.710685702,2549.52,0.259871895,7727.807002,7218.624519
-9803.31,598.54,14.65,25.32,257.44,0.026260518,2829.11,6974.2,0.711412778,2546.35,0.259743903,7765.58987,6991.5267
-9805.54,647.82,17.21,26.68,266.15,0.027142819,2830.72,6974.82,0.711314216,2537.89,0.258822054,7745.190496,7139.169546
-9796.38,594.12,15,24.36,262.61,0.026806841,2822.91,6973.47,0.711841517,2535.94,0.258865009,7755.866995,7044.199231
-9796.38,594.12,15,24.36,262.61,0.026806841,2822.91,6973.47,0.711841517,2535.94,0.258865009,7759.662193,6984.938847
-9792.81,581.12,20.25,21.83,279.19,0.028509692,2816.63,6976.18,0.712377755,2515.61,0.256883366,7745.321846,6864.96627
-9792.81,581.12,20.25,21.83,279.19,0.028509692,2816.63,6976.18,0.712377755,2515.61,0.256883366,7746.406562,6872.123397
-9783.97,594.05,19.18,23.49,270.95,0.027693257,2812.11,6971.86,0.712579863,2517.67,0.257326014,7733.689928,6832.187151
-9783.97,594.05,19.18,23.49,270.95,0.027693257,2812.11,6971.86,0.712579863,2517.67,0.257326014,7737.409282,6855.538198
-9778.47,0,13.59,22.19,274.71,0.028093352,2804.17,6974.3,0.713230188,2507.27,0.256407188,7708.643473,6756.194108
-9778.47,0,13.59,22.19,274.71,0.028093352,2804.17,6974.3,0.713230188,2507.27,0.256407188,7706.799189,6750.946867
-9771.94,592.53,22.5,18.5,288.36,0.029508982,2798.42,6973.52,0.713626977,2491.56,0.254970866,7689.721266,6721.861777
-9771.94,592.53,22.5,18.5,288.36,0.029508982,2798.42,6973.52,0.713626977,2491.56,0.254970866,7682.957867,6706.022465
